Sample,Capric acid,Butyric acid,L-Leucine,L-Valine,L-Isoleucine ,Propionic acid,Propylene glycol,Isopropyl alcohol,Valeric acid,L-Lactic acid,L-Alanine,L-Lysine,Acetic acid,5-Aminopentanoic acid,L-Glutamic acid,Succinic acid,beta-Alanine,Methylamine,L-Aspartic acid,Sarcosine,Trimethylamine,L-Asparagine,Malonic acid,Choline,Betaine,Taurine,Phenylacetic acid,Glycine,Glycerol,D-Fructose,L-Proline,Lactulose,D-Glucose,Galactose,Sucrose,Uracil,Fumaric acid,Deoxyuridine,"3,4-Dihydroxybenzeneacetic acid",L-Tyrosine,Gallic acid,L-Histidine,p-Cresol,L-Phenylalanine,L-Tryptophan,Xanthine,Hypoxanthine,Formic acid,Nicotinic acid,2'FL,3SL,6SL,LDNDFH,LNFP1,LNFP3,LNnT,LNT,3FL,LDFT,LSTa,LSTb,LSTc,Methyl,Sum H1'
K05-1,8.2894,6.3843,28.7887,20.172,6.0305,2.8221,3.3188,8.1657,5.9442,34.6787,19.6563,28.1038,22.8139,3.081,54.5815,4.8377,1.4429,0.7294,5.8329,3.4325,0.9757,2.1785,3.8036,2.929,5.2007,5.4337,13.4376,18.2978,25.3308,7.3884,6.6648,2.032,5.7848,0.8189,0.2088,0.2985,0.0371,0.1375,0.1236,5.7745,0.4195,3.6762,0.7633,6.2225,0.4351,0.068,0.0708,0.2165,-0.1734,100.7994,41.6723,16.1186,103.355,56.0948,33.6137,4.3036,144.9843,28.2898,7.4831,89.3891,31.566,25.3884,1957.8052,159.436
K05-7,11.9744,10.1029,66.8784,48.2803,21.6056,3.3475,2.8397,5.0112,13.3077,18.3019,30.2824,46.4192,41.9267,2.7782,63.3362,121.6419,1.9334,0.9111,3.8594,2.7395,3.0808,5.0279,3.4037,2.7777,6.3529,5.6846,12.8525,17.5649,24.1815,5.1587,5.3037,1.6472,4.7871,0.493,0.8102,0.3334,1.0105,0.0207,0.0949,6.7448,0.3279,3.2274,0.9836,8.7834,0.2072,0.0974,0.0868,0.3375,0.1127,4.4254,21.904,15.8381,14.5342,7.5703,9.6203,4.6683,15.7838,1.27,-0.4463,1.824,9.7334,16.0519,520.879,12.1251
K03-1,10.5937,8.1813,21.5683,11.3316,3.9712,3.2197,5.0282,9.8921,7.1596,12.4839,6.761,13.3347,17.5837,2.7968,6.7605,4.9914,2.7657,1.0659,5.2083,3.9052,1.5189,1.7381,1.6613,1.8706,2.1989,3.0732,13.2662,20.5991,35.2701,5.5032,7.9746,3.2714,4.6932,0.3885,0.5663,0.303,0.1407,0.1843,-0.191,1.2128,0.6739,0.6298,0.8733,1.0181,0.289,0.1246,-0.3209,1.0877,-0.2352,11.2196,39.4069,9.8661,60.2954,16.8804,31.1489,2.9997,160.5439,33.0491,1.7269,77.7271,28.226,18.9877,1549.9649,129.2166
K03-3,9.9882,6.4117,16.4616,11.9517,5.4301,7.3509,4.5,7.8734,6.0228,15.4503,10.6467,17.1283,12.1011,1.6448,14.5386,4.1778,2.1075,0.7236,2.2736,2.5371,1.2674,1.8744,2.6229,1.9081,4.3123,7.7855,7.6228,15.3328,12.4178,4.6179,6.991,1.8224,10.0377,0.7818,1.2725,0.3247,0.0918,0.2731,0.1508,2.1075,0.2828,1.3394,0.7151,2.8509,0.3944,0.1154,0.0168,0.4181,-0.0976,2.7989,33.1616,15.747,8.2596,15.3563,9.1613,4.8067,25.7516,0.6831,0.6244,12.7379,15.3986,20.7519,657.0824,15.0272
K03-7,8.9308,4.9107,28.412,22.4766,9.7136,5.4249,59.8313,16.8736,17.6996,194.2641,28.887,22.8103,337.7782,3.6893,25.3198,21.367,2.8596,0.9601,6.5714,2.5148,1.0116,1.8517,2.4206,6.3425,10.454,10.9938,35.7467,42.2656,60.8048,33.9806,8.7705,2.9331,15.9981,4.5298,0.2154,0.5844,0.1222,0.2252,0.0633,2.7667,0.1748,0.9537,0.4872,3.3823,0.3369,0.052,0.2152,30.5033,-0.0032,78.9748,27.073,8.5917,78.5416,41.0762,18.4759,7.1848,80.792,15.2624,5.8973,59.2694,18.1262,65.1056,1199.7107,103.5572
K04-1,6.7846,5.2899,21.5706,14.2673,6.9562,2.3814,4.1759,12.4939,6.7447,21.398,13.0958,17.0521,20.3365,2.3712,17.3697,4.3999,1.2607,0.6881,4.004,9.211,1.074,1.2619,1.807,1.8571,8.4031,14.7453,28.7004,37.4236,68.6244,11.3291,8.5956,3.7351,15.1266,0.7608,0.1589,0.2857,0.2002,0.1635,0.2182,2.0571,0.2927,1.1915,0.5888,2.1959,0.0787,0.2077,0.2155,0.6513,-0.4541,3.5244,29.8949,14.92,6.686,18.008,6.5661,8.0641,21.8357,0.8501,0.4496,12.8544,15.3623,23.5336,706.6652,12.5964
K04-7,14.4175,5.7083,24.1434,18.7543,6.5079,2.4069,59.4032,15.281,37.7622,196.7453,31.9273,20.4736,254.9589,3.8993,30.3532,36.2338,2.1606,0.7828,3.7938,2.0264,1.2357,2.0476,2.5378,6.7861,7.1906,12.9214,29.6108,81.7143,141.3325,31.2015,8.2049,2.2805,12.3635,3.2616,0.4444,1.4031,0.1108,0.1959,0.0979,2.0144,0.1494,0.4609,0.4577,2.9036,0.2025,0.0325,0.1445,19.9268,0.0529,58.2032,32.2884,12.4496,71.6469,31.9016,34.7221,4.0245,132.5971,47.4907,2.8823,86.9892,21.2198,38.9106,1704.2083,131.4815
K02-1,8.806,6.5023,21.0542,10.9686,5.1585,6.8752,6.6104,14.2229,7.6175,36.5155,7.1205,13.4908,12.7766,2.4946,5.7546,4.2752,1.5012,0.8412,3.4976,3.1696,0.4575,1.1166,1.5438,1.7606,7.0391,2.9818,10.8463,77.5053,173.6346,5.9068,5.8991,1.7457,2.5814,0.6951,0.7742,0.4759,0.2466,0.0358,0.2265,0.3636,0.4627,0.4639,0.7395,0.3903,-0.0449,0.1315,0.13,0.3554,-0.1672,119.4955,22.1733,9.4473,36.0324,54.0158,16.758,3.5414,58.6255,18.8811,7.1954,69.2408,17.6632,15.7827,946.5654,100.9959
K02-3,11.3672,6.5049,20.1716,17.48,9.1192,35.2723,11.6697,13.9196,7.9797,11.8436,22.9303,35.0826,22.9621,2.3959,7.4767,8.8437,3.7968,1.0193,1.6638,1.9573,0.8322,0.9809,1.7865,1.18,2.4221,5.303,5.0416,8.9467,9.9253,2.3961,2.8128,0.8224,4.3363,0.883,0.3034,0.6123,0.7061,0.1294,0.1422,1.5383,0.0156,0.6849,0.3526,1.9631,0.157,0.0526,0.1275,0.4083,0.2367,4.8223,34.188,21.9164,7.0543,24.1414,11.587,10.0948,28.9943,0.4497,0.2945,11.5589,16.9306,15.5504,1065.0354,8.5324
K02-7,16.1798,6.2104,15.6108,13.2963,5.7868,4.3531,7.7008,18.1768,13.5712,14.1909,8.4904,12.3119,17.5796,4.5683,6.8014,3.209,3.4716,0.7422,4.662,2.6898,0.8006,1.1984,1.1832,1.5991,13.7013,27.4962,44.9778,67.9861,141.7044,18.0866,8.7324,9.8526,63.6708,26.3508,-0.006,0.3246,0.0567,0.0234,-0.1941,1.3337,0.1857,0.7036,0.3823,1.6184,0.208,0.0224,0.0175,0.3943,-0.1146,45.3858,41.7199,14.6771,138.2729,49.9475,26.7509,4.8254,150.6211,33.8449,6.406,80.689,29.4085,19.2235,1974.1626,149.7142
K01-1,8.2065,6.4588,18.8028,11.6985,5.1154,3.3463,3.9915,12.8273,6.9421,12.905,8.6316,13.4159,10.5521,3.488,8.5016,4.5989,1.3458,0.7765,4.1963,3.7095,1.1469,1.3356,1.9567,2.1074,3.6727,5.4137,18.816,18.6506,26.0491,5.6025,7.2391,2.4467,6.9226,0.6711,0.9899,0.2795,0.0385,0.0667,0.1453,1.3704,0.3572,0.7643,0.6202,1.7731,0.1163,0.1585,-0.0099,0.225,-0.0151,3.8614,40.6008,10.6028,7.1843,22.0064,7.2657,13.206,22.5832,0.6915,0.3911,13.9078,15.0072,34.1615,682.3204,6.674
K01-7,14.1743,12.1288,12.583,9.446,4.0759,2.8981,4.0557,12.6208,14.8062,13.2788,6.1228,9.9116,13.622,2.6955,5.9635,3.3719,53.0666,1.5465,12.4121,3.5446,1.3256,1.995,74.0655,7.8963,9.9404,11.6196,26.663,35.3347,70.6826,9.8483,7.6319,5.1013,39.2161,4.5444,0.3703,0.317,0.0218,0.2076,0.0433,0.8085,0.1944,0.3418,0.7436,1.0094,0.1072,0.0669,-0.0678,1.3924,-0.1144,45.9502,30.7317,7.6456,70.3023,22.6207,25.5887,3.1306,134.1187,30.7635,3.7946,76.8666,22.4177,14.5416,1272.6946,104.1692
L01-1,9.5382,7.7496,20.7936,14.0437,5.4758,2.4867,2.9485,11.2048,7.1869,18.4332,11.0034,13.6267,12.9655,3.1369,11.8056,5.3827,1.8584,0.8042,3.4899,4.2858,1.2295,1.3434,2.2937,1.9965,5.4632,9.5717,27.0085,43.7845,79.9088,8.1629,8.523,3.0711,10.4015,0.9675,0.2524,0.3151,0.0393,0.1347,0.1305,1.7668,0.3571,0.7323,0.7837,1.9237,0.2037,0.1055,0.0163,0.3146,0.0222,107.1814,36.7627,10.4548,56.6539,61.5314,18.0673,5.2197,89.9053,10.8962,4.1457,73.1625,22.9488,73.2208,1427.7739,127.2917
L01-3,4.9416,4.1996,13.7462,10.8001,4.3597,7.2223,4.7351,36.6938,4.3341,16.8565,7.81,16.7394,9.3076,1.2944,14.0217,3.542,1.5528,0.5769,4.7776,4.8338,0.5706,0.9561,1.2641,2.796,5.8768,9.9924,40.3347,47.1373,111.9139,22.4633,11.8319,3.6474,97.7209,6.8847,0.6752,0.0964,0.0334,0.0109,0.0242,1.5857,0.2026,0.8607,0.3041,1.7863,0.3082,0.046,-0.0376,0.0929,-0.0829,26.5593,39.332,11.527,81.8529,23.3448,22.419,4.1383,189.1803,22.6684,2.5015,72.682,25.6917,19.0786,1687.3438,134.4698
L01-7,17.8719,13.0468,20.6736,16.2167,6.7266,3.375,34.6578,21.3074,21.3787,39.2279,22.7255,15.2387,613.908,2.4266,7.8049,8.7986,0.8922,0.4348,1.5448,1.3438,0.8281,2.8813,1.391,3.323,2.473,4.7409,25.0895,26.7519,81.7156,12.8483,10.7488,2.0444,58.8254,3.3957,0.6457,0.2196,0.0364,-0.0001,-0.0304,3.781,0.1196,1.133,0.2635,2.1738,0.4581,0.0253,0.0786,0.1502,-0.0508,37.929,48.1877,9.4349,78.6231,28.9528,18.4845,5.328,109.5656,17.4781,2.6108,64.5952,24.2993,70.6332,1456.5316,104.1569
L02-1,9.9826,7.6392,21.1473,13.0751,5.2139,2.826,4.3453,13.2987,5.9526,14.9967,9.9393,14.0611,11.4291,2.6381,10.0298,4.7579,1.8817,0.8584,4.8912,3.8843,1.1738,1.2876,1.8902,2.2465,5.4374,10.1514,20.8188,105.7964,234.086,7.4637,7.1313,2.5362,8.8998,0.6417,1.629,0.2334,0.0363,0.1591,0.0093,1.6462,0.3228,0.6792,0.6948,1.6379,0.007,0.0894,0.0613,0.3095,-0.0248,5.0221,29.7753,24.5544,11.9687,24.4595,13.6967,6.1731,27.2124,1.2708,0.6435,16.7748,18.7456,17.4236,949.3517,24.5715
L02-3,6.1621,5.0054,29.1127,21.6593,9.7153,4.9391,4.9356,9.8283,4.3695,27.4734,25.0338,24.5331,50.6481,2.0219,26.3385,6.2328,5.3512,1.0186,13.8731,4.0674,1.1355,2.0798,2.9997,4.4592,4.9608,6.6449,15.4432,63.4717,94.5994,5.9609,6.9609,2.0922,3.8511,0.2716,0.6918,0.0852,0.069,0.1643,-0.0788,4.8417,0.3206,2.1965,0.5566,5.1656,0.4878,0.0707,-0.1136,0.9176,-0.0793,7.0809,40.1777,19.8698,6.5047,44.5641,2.8716,26.342,45.4554,1.0447,0.6061,19.9103,46.0055,22.3343,220.3568,15.7928
L03-1,6.8704,5.567,19.4479,12.1524,4.5468,2.7308,3.5436,16.0544,5.5836,11.7091,7.212,14.3465,11.4644,4.0198,8.7579,5.1963,1.907,0.9312,5.7365,4.28,1.3673,1.4966,1.8879,2.1984,3.0972,3.968,28.644,25.2308,34.3995,8.5916,8.4727,3.0985,6.9002,0.3598,0.768,0.2627,0.0195,0.0059,0.1261,0.9812,0.2278,0.5022,0.4946,0.9611,0.0948,0.0819,-0.0741,0.3149,-0.0575,73.9734,31.181,13.1727,44.7629,62.0005,17.0143,6.0097,60.5767,8.7058,4.009,54.1307,27.0656,22.5257,1306.0404,99.6571
L03-3,4.372,3.8378,14.6203,12.0539,5.0404,7.0867,7.4284,39.4501,5.7823,11.6559,6.9302,16.9971,12.2372,1.5791,5.674,3.0544,1.5656,0.6579,3.8467,4.5669,0.6634,0.8477,1.2812,2.9462,6.5946,6.3052,38.2659,46.995,147.6588,20.1833,15.2517,4.6536,157.5995,6.2999,1.3476,0.0906,-0.0332,-0.0279,0.0847,1.1096,0.2227,0.4685,0.2453,1.9954,0.1207,0.0586,-0.0475,0.1822,-0.0407,6.9002,26.4561,8.1444,12.9409,29.6044,9.4269,7.5496,24.8113,3.2612,1.4373,14.6997,12.8053,57.3043,560.9272,12.7986
L03-7,5.4904,4.487,19.0041,15.2577,5.8593,3.7048,10.1949,59.9807,5.5148,22.3608,11.4787,22.7745,248.8922,2.0605,26.255,21.844,1.2946,0.6637,7.7335,7.2029,1.0795,4.5761,2.4008,1.5622,25.3004,7.4144,68.5605,97.4616,230.6117,41.5903,9.8978,3.6841,100.4896,0.9664,0.4491,0.2257,0.0384,0.0126,-0.0393,4.8559,0.1836,0.9407,0.4013,2.1926,0.431,0.0023,0.0557,9.0547,0.0258,4.4851,24.1415,20.8731,7.7373,17.8535,8.1633,5.1551,21.9997,0.7582,0.5503,10.9945,12.9195,24.2485,692.5637,5.992
L04-1,8.3599,7.3598,23.5234,12.3795,5.3014,2.955,4.2227,14.1235,5.7209,12.715,8.9165,16.3828,16.7104,4.235,7.3264,4.5281,1.6255,0.8511,4.4161,3.6682,1.1697,1.4678,1.6623,2.125,2.9078,3.2088,16.5489,21.6635,29.9073,7.5155,6.7644,2.3307,7.2862,0.8118,0.5913,0.0566,0.0678,-0.0725,-0.1723,2.1995,0.3697,0.419,0.6997,1.8688,0.1786,0.0408,0.0034,0.477,-0.168,2.2489,25.113,8.2907,77.3621,15.8379,16.7332,3.1647,105.8639,49.825,1.8502,77.9776,22.0779,9.7931,939.2082,77.4487
L04-7,10.2591,18.1852,15.2772,11.8038,4.1028,3.6307,7.1656,93.1784,16.8933,16.7508,5.9607,23.9662,29.05,3.654,9.7469,3.4653,1.477,0.5724,9.3429,6.2416,0.8291,2.5746,1.289,2.9278,3.0758,5.4477,82.5696,80.8001,186.9504,53.2814,11.3043,3.9364,107.3128,1.0059,0.5315,0.1596,-0.013,-0.0112,-0.0064,1.942,0.2859,0.5346,0.4762,0.7705,0.0957,0.0688,-0.0033,1.3118,-0.0862,3.1631,20.265,8.5489,43.9492,10.9811,12.9833,7.5635,56.731,28.7614,1.0367,41.4556,14.4615,14.5422,622.2206,54.6835
L05-1,6.0312,4.6737,15.0105,10.1374,3.8288,1.9466,2.9155,11.1107,4.2663,11.8767,8.1318,13.0137,13.1042,2.5616,12.0525,4.7162,2.6868,0.8087,6.2603,6.5283,1.0941,1.366,2.4039,2.166,5.6306,12.9747,28.1033,58.9743,127.7303,11.3679,8.6268,3.0213,12.5875,1.1699,0.2865,0.1905,-0.0203,0.0518,0.0648,0.9753,0.3296,0.7668,0.6147,1.0862,0.1297,0.1131,0.0119,0.2454,-0.0005,1.0241,34.7285,7.9324,98.4842,12.5369,26.8867,5.1735,153.0701,38.5769,1.5746,92.2388,24.1575,33.5307,1716.8627,108.9809
L05-3,5.9055,3.7783,15.1534,12.0332,5.5572,5.8846,6.2629,31.334,7.7524,25.1935,9.777,18.8296,108.4905,2.1161,16.783,4.0515,1.318,0.5679,4.4056,5.5597,0.6553,1.3044,1.3738,5.12,5.6056,7.1786,38.6952,41.7935,112.427,15.566,19.3978,3.0446,114.9789,4.5538,0.4971,0.4149,0.034,0.0426,0.0141,1.03,0.1992,0.5773,0.2484,1.4235,0.1545,0.0594,0.0624,2.5937,0.0767,43.9205,18.2639,8.1653,26.1802,20.2252,9.6882,2.0329,38.1991,6.7954,1.9776,33.226,10.142,66.6583,549.5405,59.1613
L06-1,11.9647,7.4465,15.8622,9.7757,4.7081,4.9082,5.4564,10.2174,7.4722,54.6622,11.2757,12.7552,21.8765,2.8897,7.354,5.661,2.549,0.9996,11.6301,2.6128,1.223,1.6375,1.2503,1.705,8.2533,5.765,11.6604,23.161,30.1363,10.9063,10.2799,2.2831,6.6619,0.332,0.2198,1.1501,0.1662,-0.001,0.2757,0.8704,0.6847,0.3927,0.5875,1.9036,-0.1355,0.0591,-0.248,3.329,-0.3356,2.7243,25.5637,18.6191,7.2847,16.6836,8.6913,4.6622,23.2119,0.6669,0.4395,12.3892,15.4647,15.6184,670.4166,8.8006
L06-3,6.8735,4.2512,36.5842,8.5965,4.9968,9.4233,8.235,47.7253,7.2441,7.7737,5.5655,21.0032,13.8377,1.8045,6.6075,3.9979,2.6497,1.1129,4.24,5.3073,0.6735,1.0228,0.9318,4.2992,3.7822,4.5577,39.7814,40.7359,96.0853,22.2475,8.903,2.2043,65.5088,0.5943,0.3976,0.4943,0.0221,0.0679,0.0618,0.8316,0.21,0.2735,0.3212,0.5891,0.1065,0.0606,-0.0216,0.2782,-0.0245,1.0143,24.9875,7.9493,11.29,11.7955,12.3364,86.279,13.0447,0.6929,0.224,6.7818,9.8902,85.4634,508.3829,7.7155
L06-7,9.0184,11.3611,16.9238,13.7303,4.2269,5.3408,15.7804,78.3947,11.9319,18.5908,7.1368,22.5322,122.6674,4.9809,11.6275,5.1501,1.7613,0.6346,5.4227,7.7733,0.6778,1.8962,1.164,1.3477,7.3287,7.9077,108.5869,84.951,223.8354,47.7074,9.0826,3.7947,135.4421,1.2873,0.5125,0.2213,0.024,0.0067,0.0357,1.1811,0.2085,0.5206,0.4417,1.674,0.1645,0.0732,0.0099,5.8164,0.0206,94.2192,38.3132,15.6753,99.0536,35.4569,30.2657,3.6732,113.6281,36.4341,6.3807,97.3225,26.8817,21.3056,1664.8007,150.6471
L07-1,7.2893,5.8102,15.8797,9.6828,3.4898,3.7057,4.1609,14.4788,7.1682,10.3672,5.4517,12.5492,10.0454,3.6077,7.3428,5.441,1.7395,0.8668,4.9571,4.0005,1.4105,1.3692,1.8378,1.8527,2.3502,4.2481,22.905,22.2073,36.2895,7.6766,8.3867,3.2002,9.6516,0.7418,0.915,0.3755,0.0241,0.0527,0.081,0.4756,0.2283,0.3639,0.5529,0.4531,0.0884,0.1596,0.0149,0.245,0.0155,6.2108,24.8611,31.1553,8.1496,25,13.5706,5.6485,28.3594,1.2283,0.5191,12.7825,15.9996,17.3441,929.7561,10.2259
L07-3,4.0649,8.4871,16.0258,12.6902,6.3566,10.2743,6.1055,41.0363,4.8079,10.9656,9.3115,18.4135,33.3952,1.5472,13.1709,5.2737,113.194,1.8583,14.7576,3.5906,0.7302,1.3074,1.5632,5.7311,3.5139,4.4695,18.7835,28.998,50.7574,7.0505,9.7345,1.5149,46.5425,1.9664,0.3349,0.2522,0.0409,0.0722,0.2208,1.3212,0.1224,0.5515,0.3099,2.1793,0.171,0.0296,0.0145,0.578,-0.0007,59.611,38.6456,8.5739,91.1164,28.4787,32.2539,3.3216,123.2857,44.6228,4.8941,95.2247,27.1828,29.1568,1550.7198,139.6025
L08-1,7.2977,6.246,16.0911,10.0666,3.7598,2.751,3.6601,13.9337,6.6058,9.9896,5.9065,11.4987,10.2687,4.7034,7.2992,4.9057,1.6158,0.7907,3.4726,3.4566,1.2588,1.3671,1.6744,1.8059,2.5909,4.709,19.2681,20.3968,29.476,8.558,7.988,3.5185,12.1812,0.9163,1.633,0.3091,0.0308,0.056,0.1494,0.7097,0.3319,0.4066,0.693,0.7855,0.0886,0.1146,-0.0313,0.3057,-0.1672,3.0266,29.1319,22.8725,8.2676,17.6637,11.1179,9.448,23.8721,0.7572,0.4416,12.3855,15.7035,17.1134,842.8191,9.6083
