"","Metabolite","Taxa","Correlation","Pvalue","Group","AdjPvalue","Significance"
"1","Bifidobacterium","Capric_acid",0.389944541444264,0.0226201021908127,"1",0.0226201021908127,"*"
"2","Bifidobacterium","Butyric_acid",0.264860256601935,0.130075855899893,"1",0.130075855899893,""
"3","Bifidobacterium","L_Leucine",-0.0279534461062406,0.875300845848593,"1",0.875300845848593,""
"4","Bifidobacterium","L_Valine",0.0123562562176997,0.944705984007781,"1",0.944705984007781,""
"5","Bifidobacterium","L_Isoleucine",-0.0289151457317619,0.871045914709737,"1",0.871045914709737,""
"6","Bifidobacterium","Propionic_acid",-0.336190748999038,0.0518962869069016,"1",0.0518962869069016,""
"7","Bifidobacterium","Propylene_glycol",0.16649370184341,0.34665611444424,"1",0.34665611444424,""
"8","Bifidobacterium","Isopropyl_alcohol",0.304435339457447,0.0800196516125017,"1",0.0800196516125017,""
"9","Bifidobacterium","Valeric_acid",0.394079430680838,0.0211040951078467,"1",0.0211040951078467,"*"
"10","Bifidobacterium","L_Lactic_acid",0.257682469097781,0.141207181403377,"1",0.141207181403377,""
"11","Bifidobacterium","L_Alanine",0.0099673625721273,0.955384348688732,"1",0.955384348688732,""
"12","Bifidobacterium","L_Lysine",-0.145239352940958,0.412463778929564,"1",0.412463778929564,""
"13","Bifidobacterium","Acetic_acid",0.41071821167014,0.0158284088048916,"1",0.0158284088048916,"*"
"14","Bifidobacterium","Aminopentanoic_acid",0.369015281954447,0.0317396687867098,"1",0.0317396687867098,"*"
"15","Bifidobacterium","L_Glutamic_acid",0.077229194785871,0.664197505988076,"1",0.664197505988076,""
"16","Bifidobacterium","Succinic_acid",0.0862763879263321,0.62756093207437,"1",0.62756093207437,""
"17","Bifidobacterium","beta_Alanine",0.29405951247454,0.0913987135418424,"1",0.0913987135418424,""
"18","Bifidobacterium","Methylamine",0.255622597487048,0.144526671545739,"1",0.144526671545739,""
"19","Bifidobacterium","L_Aspartic_acid",0.371428565383368,0.0305554815177062,"1",0.0305554815177062,"*"
"20","Bifidobacterium","Sarcosine",-0.0180589334268034,0.919256607149558,"1",0.919256607149558,""
"21","Bifidobacterium","Trimethylamine",0.191109703944475,0.278947110141223,"1",0.278947110141223,""
"22","Bifidobacterium","L_Asparagine",0.147565277147505,0.404937655802316,"1",0.404937655802316,""
"23","Bifidobacterium","Malonic_acid",0.23695401531156,0.177242146528784,"1",0.177242146528784,""
